Date,Open,High,Low,Close,Adj Close,Volume
2012-01-09,712.187988,716.5,705,709.049988,511.105469,428964
2012-01-10,714.25,719.224976,712.525024,715.75,515.93512,642348
2012-01-11,716.75,723.825012,703.125,706.5,509.267426,741308
2012-01-12,686,686,644.5,647.150024,466.486145,4118044
2012-01-13,652.75,654.687988,638.75,646.388,465.936768,1704496
2012-01-16,646.200012,660.25,645,658.525024,474.685486,886432
2012-01-17,662.5,667,658.525024,665.062012,479.397614,580560
2012-01-18,661,661,646.325012,652.638,470.441956,483560
2012-01-19,652.075012,655.888,644.25,647.974976,467.08075,478148
2012-01-20,649.974976,652.487,643.799988,645.888,465.576294,423428
2012-01-23,645,654,645,649.987,468.531128,285236
2012-01-24,655.25,659.799988,648.838013,655.025024,472.162598,327772
2012-01-25,657.5,667.5,656.187988,664.937988,479.308167,364720
2012-01-27,664.937988,682.474976,664.937988,680.150024,490.273407,547168
2012-01-30,675,679.75,672.513,676.474976,487.62439,254444
2012-01-31,678.75,688,677,685.838013,494.373596,290168
2012-02-01,685.424988,685.424988,673.963013,683.713013,492.841797,301476
2012-02-02,686.224976,695,682.138,688.362,496.192902,336692
2012-02-03,685,696.650024,684.75,694.987,500.968475,300460
2012-02-06,700.549988,702.25,688.799988,694.075012,500.311066,301752
2012-02-07,700.025024,700.025024,678.588013,681.263,491.075836,841468
2012-02-08,687.25,694.974976,686.25,692.161987,498.932037,234564
2012-02-09,687.5,705,683,701.812012,505.888184,307820
2012-02-10,697.513,699.687988,688.411987,695.674988,501.464417,278248
2012-02-13,694.987,698.638,688.025024,696.075012,501.752838,206296
2012-02-14,693.75,702,691.25,700.099976,504.654083,276568
2012-02-15,704.025024,718.75,704.025024,716.812012,516.700562,491628
2012-02-16,715,727.150024,715,725.838013,523.206909,383960
2012-02-17,727.75,743.75,725,737.650024,531.721313,556352
2012-02-21,737.650024,739.737,728.062012,734.286987,529.297119,261008
2012-02-22,735,747.5,727,738.161987,532.090332,556788
2012-02-23,732.75,745.388,729,733.75,528.910034,269524
2012-02-24,734,743,731.575012,736.825012,531.126526,237124
2012-02-27,740.025024,740.025024,713.75,720.088013,519.062134,228344
2012-02-28,721.25,727.187988,713.75,717.862,517.457458,252640
2012-02-29,725,727.25,716.25,718.849976,518.169617,386584
2012-03-01,716.25,717.5,701.575012,712.200012,513.37616,282184
2012-03-02,715.049988,716.25,704.125,711.650024,512.979797,191588
2012-03-05,713,716.362,699,702.338013,506.267395,162940
2012-03-06,701,719.924988,700.650024,712.263,513.421509,210732
2012-03-07,711.25,722,709.25,719.900024,518.926514,395756
2012-03-09,719.900024,726.099976,713.025024,714.963013,515.367737,187092
2012-03-12,727.763,727.875,696.75,704.200012,507.609589,347636
2012-03-13,709.049988,717,709.049988,714.862,515.295044,152704
2012-03-14,721.25,728.838013,708.888,719.825012,518.872498,480784
2012-03-15,720.536987,725.562012,717.5,720.450012,519.322937,140560
2012-03-16,725,727.5,712.536987,716.513,516.484985,272752
2012-03-19,722.025024,724.299988,703.036987,708.263,510.538208,162824
2012-03-20,705.888,713,700.763,706.325012,509.141296,339568
2012-03-21,706.799988,722.5,705.763,716.724976,516.638,181920
2012-03-22,716.75,718.25,704.375,706.75,509.447693,182312
2012-03-23,709.75,721.25,708.25,717.588013,517.259888,172984
2012-03-26,713,717,705.25,707.862,510.249207,178264
2012-03-27,714.25,725,708.25,718.838013,518.161011,798552
2012-03-28,717.474976,718.299988,705.900024,710.388,512.069946,175372
2012-03-29,709.974976,709.974976,692.487,697.75,502.960114,342520
2012-03-30,700,717.5,700,716.237,516.286194,1563144
2012-04-02,716.25,721.924988,710.75,713.437988,514.268494,134520
