time,date,,News Headlines
4.26 pm , 08-02-2017,PTI,"Infosys defends pay hike to Sikka,says decision in co's interest  "
12.30 pm , 08-02-2017,Moneycontrol.com,COMMENT: Why buybacks for IT companies is a bad idea  
12.04 pm , 08-02-2017,Reuters,Infosys defends decisions after report of governance concerns  
11.43 am , 08-02-2017,CNBC-TV18,"Buy Tata Steel, Hindalco Industries on dips: Ashwani Gujral  "
11.38 am , 08-02-2017,PTI,India yet to achieve global goals in healthcare: Narayana Murthy  
9.00 pm , 07-02-2017,CNBC-TV18,Infosys founders raise governance concerns with board: Sources  
8.25 pm , 13-02-2017,CNBC-TV18,"Infosys should focus on long term goals, says pro  "
7.25 pm , 13-02-2017,Moneycontrol.com,Infosys defends ex-CFO severance pay  says wasn't 'hush money' 
5.55 pm , 13-02-2017,Moneycontrol.com,"Infosys Live Updates: Ex-CFO's severance payout wasn't 'hush money', says Seshasayee  "
3.43 pm , 13-02-2017,Moneycontrol.com,COMMENT: Crystal-ball gazing: what's the Infosys stock saying?  
2.44 pm , 13-02-2017,CNBC-TV18,"Sell Maruti Suzuki; buy Infosys, Heritage Food: Ashwani Gujral  "
2.05 pm , 13-02-2017,Moneycontrol.com,"Basis for severance pay must be made clear, say hiring experts  "
1.48 pm , 13-02-2017,PTI,"Have not withdrawn governance concerns, insists Narayana Murthy  "
12.33 pm , 13-02-2017,Moneycontrol.com,Vishal Sikka places Infosys report card before investors  
12.21 pm , 13-02-2017,Moneycontrol.com,"Drama in media is distracting, says Sikka  "
11.56 am , 13-02-2017,PTI,"Have a heartfelt, warm relationship with Murthy: Vishal Sikka  "
11.28 am , 13-02-2017,Reuters,Media talk on Infy corporate governance issues distracting:Sikka  
9.44 am , 13-02-2017,Moneycontrol.com,Infosys: Narayana Murthy blinks  founders resume talks with board 
9.15 pm , 12-02-2017,Moneycontrol.com,Exclusive Roopa Kudva Interview: ‘Infosys’ capital allocation in line with transformation plan’  
9.13 pm , 12-02-2017,Moneycontrol.com,Exclusive Interview: Board member Kudva says Infosys reworked contracts post CFO exit  
7.02 pm , 12-02-2017,PTI,Pai urges investors to question Infy's cap allocation policy  
4.02 pm , 12-02-2017,PTI,Infy CEO Vishal Sikka to address investors on Monday  
2.12 pm , 12-02-2017,PTI,Appoint interim chairman to engage with Infy founders: Ex-CFO  
10.16 am , 12-02-2017,PTI,Sikka reaches out to Infy management team to assuage concerns  
10.14 am , 11-02-2017,PTI,Happy to help with my counsel if called upon to do so: Marti  
9.56 pm , 10-02-2017,PTI,"No comeback plans, have right to question as shareholders: Pai  "
2.21 pm , 16-02-2017,CNBC-TV18,"After TCS, Infosys says buyback to happen at 'appropriate time'  "
12.00 pm , 16-02-2017,CNBC-TV18,Prefer SBI over Bank of Baroda  short ITC: Ashwani Gujral 
9.28 am , 16-02-2017,CNBC-TV18,TCS share buyback will put pressure on other IT firms: Analysts  
9.12 am , 16-02-2017,CNBC-TV18,Here are few stock trading ideas by Mayuresh Joshi  
3.18 pm , 15-02-2017,Moneycontrol.com,FIIs' stake in Nifty cos at 6-quarter low in Q3  Infosys dumped 
12.53 pm , 15-02-2017,Moneycontrol.com,Analysts back Sikka: 'Founders must accept Infosys not their co'  
8.39 am , 15-02-2017,Moneycontrol.com,Infosys corporate governance began slipping pre-Sikka: IiAS  
5.59 am , 15-02-2017,Moneycontrol.com,Infosys delayed recording minutes of Bansal payout till January  
9.42 pm , 14-02-2017,PTI,Infosys chief reaches out to Narayana Murthy to contain damage  
12.04 pm , 14-02-2017,Moneycontrol.com,Read: Infosys board's point-by-point rebuttal to founders' charges  
11.34 am , 14-02-2017,CNBC-TV18,"Buy Hindalco, Vedanta, Tata Steel, DLF on dips: Ashwani Gujral  "
9.22 am , 14-02-2017,CNBC-TV18,Sikka's 'warrior' quip: Analyst warns Infosys strife may worsen  
9.20 am , 14-02-2017,CNBC-TV18,"Be in love with capital than stocks, says Prakash Diwan  "
10.53 pm , 13-02-2017,Moneycontrol.com,Shareholder interest will be Infosys board's priority: Chairman  
10.36 pm , 13-02-2017,PTI,Disappointed with Infy's explanation on issues: Balakrishnan  
10.33 pm , 13-02-2017,CNBC-TV18,Infosys needs to make CFO payout probe public: Mohandas Pai  
10.21 pm , 13-02-2017,CNBC-TV18,"I am a kshatriya warrior, says Sikka  "
9.52 pm , 13-02-2017,CNBC-TV18,Infosys mgmt should have last word on CEO's pay: Marico chief  
9.22 pm , 13-02-2017,PTI,"Elected by shareholders, have a job to do: Seshasayee  "
8.54 pm , 13-02-2017,PTI,"For the first time, Infosys logs drop in hiring  "
8.14 am , 23-02-2017,PTI,Infosys' audit committee looking into anonymous complaints  
9.53 pm , 22-02-2017,CNBC-TV18,"Snapdeal fate no surprise, startup model to blame: Mohandas Pai  "
4.00 pm , 22-02-2017,Moneycontrol.com,JC Penney may cut outsourcing to India  plans insourcing instead 
2.31 pm , 22-02-2017,CNBC-TV18,"Sell Infosys; buy LIC Housing, Jubilant Food: Ashwani Gujral  "
10.13 am , 22-02-2017,Moneycontrol.com,"EXCLUSIVE: Infy founders to keep promoter tag, seem reluctant to cut stake  "
8.35 pm , 21-02-2017,CNBC-TV18,Man with the midas touch: See how India Inc views N Chandra  
10.20 am , 21-02-2017,CNBC-TV18,"Buy HCL Technologies, Karnataka Bank: Mitessh Thakkar  "
10.04 am , 21-02-2017,Moneycontrol.com,Infosys denies whistleblower allegations on Panaya deal  
7.40 am , 21-02-2017,PTI,Vishal Sikka says 'malicious stories' being spread to target him  
7.09 pm , 20-02-2017,Moneycontrol.com,Infosys divide: Vishal Sikka in a letter refutes whistleblower allegations  
10.04 am , 20-02-2017,CNBC-TV18,TCS buyback on Board agenda today. Here is what to expect  
11.12 am , 19-02-2017,PTI,"Top seven cos add Rs 48,519 cr in m-cap  "
1.49 pm , 18-02-2017,Reuters,"Indian IT industry faces twin challenges of Trump, automation  "
12.54 pm , 18-02-2017,PTI,Infosys row: Sebi says will not spare anyone if found guilty  
1.52 pm , 17-02-2017,CNBC-TV18,"Buy HPCL; sell JSW Energy, Infosys: Ashwani Gujral  "
11.17 am , 17-02-2017,CNBC-TV18,Pick Kotak Mahindra Bank: Ashwani Gujral  
7.56 pm , 16-02-2017,PTI,Will take decision on buyback at an appropriate time: Infosys  
7.10 pm , 16-02-2017,PTI,Not much has changed in IT since last Nasscom guidance: Infy  
3.07 pm , 16-02-2017,CNBC-TV18,"Buy Bata India, Infosys; sell Indo Count Industries: Gujral  "
3.07 pm , 16-02-2017,CNBC-TV18,"Buy HDFC Bank, Infosys: Rajat Bose  "
10.00 am , 03-03-2017,Moneycontrol.com,"Buy, sell, hold: 7 stocks to focus as market cautious  "
2.37 pm , 02-03-2017,CNBC-TV18,Buy Infosys  sell IDFC Bank:  Mitessh Thakkar 
11.25 am , 02-03-2017,CNBC-TV18,"Buy Mahindra and Mahindra, Infosys, Sun Pharma: VK Sharma  "
10.32 am , 02-03-2017,CNBC-TV18,"Buy M&M;, Infosys, HUL; sell Shriram Trans, Tata Motors: Thakkar  "
9.34 am , 02-03-2017,Moneycontrol.com,Employees launch petition against 3-month exit notice in IT cos  
12.24 pm , 01-03-2017,CNBC-TV18,"Now, Wipro mulls share buyback, plans using 25-30% of cash: Srcs  "
6.00 pm , 28-02-2017,Moneycontrol.com,COMMENT: Are Indian investors gaining from Warren Buffett’s wisdom?  
3.51 pm , 27-02-2017,CNBC-TV18,"Buy Infosys, may test Rs 1200: Prakash Gaba  "
3.45 pm , 27-02-2017,CNBC-TV18,Hold Infosys for long term: Gaurang Shah  
10.15 am , 27-02-2017,Moneycontrol.com,"Buy, sell, hold: 6 stocks analysts are watching out  "
1.12 pm , 25-02-2017,Forbes India,Independent directors should get ESOPs: HDFC’s Keki Mistry  
2.44 pm , 24-02-2017,PTI,Infy seeks shareholders' nod for new Articles of Association  
2.00 pm , 24-02-2017,Moneycontrol.com,"Without reskilling, IT's 1 mn workforce will struggle to stay  "
1.42 pm , 24-02-2017,Moneycontrol.com,"India faces 1.5 mn white-collar job crisis in telecom, IT, BFSI  "
1.22 pm , 24-02-2017,Moneycontrol.com,"Infosys to tweak Articles, likely to announce share buyback soon  "
9.24 pm , 23-02-2017,PTI,Infosys seeks shareholder nod to amend Articles of Association  
7.32 pm , 23-02-2017,Moneycontrol.com,Infosys may announce $2.5 bn share buyback in April  
2.41 pm , 23-02-2017,CNBC-TV18,"Buy DCB Bank, Cadila Health, IndusInd Bk, Grasim: Gujral  "
2.40 pm , 23-02-2017,CNBC-TV18,"Buy Infosys, Natco Pharma, Bharat Forge: Ashwani Gujral  "
12.04 pm , 23-02-2017,Moneycontrol.com,Infosys: Outcome of board meeting  
6.48 pm , 11-04-2017,CNBC-TV18,Q4 Earnings: Will we clock a double-digit growth? Experts analyze  
1.06 pm , 11-04-2017,CNBC-TV18,Here's what you can expect from Q4 results of Infosys  
8.46 am , 06-04-2017,NEWS18.com,"Former Infosys top executive defends Narayana Murthy, says board has let down founders  "
6.47 pm , 03-04-2017,CNBC-TV18,"Infosys board seeks to clarify role of promoters, writes to shareholders: Sources  "
6.24 pm , 03-04-2017,PTI,"Pay hike for top executive terrible, says ex-CFO V Balakrishnan  "
4.29 pm , 03-04-2017,PTI,"Mohandas Pai backs NR Narayana Murthy; Infosys COO UB Pravin Rao's pay spectacular, not performance  "
11.50 am , 03-04-2017,Moneycontrol.com,A recap of Infosys row: Narayana Murthy's fresh salvo revives spat over compensation  
10.21 am , 03-04-2017,,Full text of Infosys founder Narayana Murthy's letter to the media  
12.15 am , 03-04-2017,,Infosys saga continues: Now Narayana Murthy questions COO Pravin Rao's pay hike  
12.19 pm , 23-03-2017,Moneycontrol.com,"FEATURE- With automation threat looming, IT cos ramp up reskilling. But is it enough?  "
2.12 pm , 22-03-2017,CNBC-TV18,"Buy Infosys, Power Finance Corporation, Oriental Bank of Commerce: Rishi Kohli  "
9.33 pm , 14-03-2017,Moneycontrol.com,Infosys board meeting  
6.20 pm , 08-03-2017,PTI,"Challenge is to transition without losing values, ethos: Sikka  "
3.21 pm , 08-03-2017,Moneycontrol.com,Infosys enters into partnership with Texas Department of Family & Protective Services  
1.24 pm , 08-03-2017,CNBC-TV18,"Divis Labs can climb to Rs 810, Infosys looks weak: Prakash Gaba  "
11.43 am , 07-03-2017,CNBC-TV18,"Buy Infosys, Ashok Leyland, Adani Power, Thomas Cook: Thakkar  "
10.05 am , 06-03-2017,CNBC-TV18,Here are some top trading ideas by Sanjiv Bhasin  
9.29 am , 06-03-2017,CNBC-TV18,"Buy AB Nuvo, Arvind, Infosys, Titan; short UPL: Sukhani  "
11.44 am , 05-03-2017,PTI,"RIL hits home run! Top 4 cos' m-cap swells by Rs 35,876 crore  "
11.26 am , 03-03-2017,CNBC-TV18,"To cut healthcare costs, US must partner India: Biocon's Shaw  "
5.29 pm , 15-04-2017,Moneycontrol.com,Will IT sector have a smooth March quarter? Here are analysts’ views on it  
3.27 pm , 15-04-2017,Moneycontrol.com,Decision to appoint Ravi Venkatesan as co-chair to Infosys board unnecessary: IiAS  
2.20 pm , 15-04-2017,PTI,Infosys CEO Vishal Sikka takes home Rs 43 cr in FY17  
6.15 pm , 13-04-2017,CNBC-TV18,"Ravi Venkatesan a natural, appropriate choice as Infosys co-chairman: R Seshasayee  "
4.51 pm , 13-04-2017,Moneycontrol.com,Deal wins of over $800 million in Q4  focus on winning more of them: Infosys 
4.05 pm , 13-04-2017,CNBC-TV18,There is scope for increasing guidance as visibility improves: Vishal Sikka  
1.50 pm , 13-04-2017,PTI,Need to reduce 'friction' in businesses in India: Narayana Murthy  
12.02 pm , 13-04-2017,Moneycontrol.com,"Infosys Q4: With new payout policy, co may be positioning itself as a dividend yield play  "
11.39 am , 13-04-2017,PTI,"Have to live with visa issue,local-global talent mix must: Infosys  "
10.29 am , 13-04-2017,CNBC-TV18,What analysts say about Infosys post Q4 earnings and FY18 guidance  
9.51 am , 13-04-2017,Moneycontrol.com,Infosys Q4 results: Top 10 key takeaways from March quarter  
9.51 am , 13-04-2017,CNBC-TV18,"Infosys Q4 2017 results: Experts welcome dividend policy, but worry on EBIT guidance  "
9.50 am , 13-04-2017,Moneycontrol.com,Infosys recommends final dividend of Rs 14.75  
9.45 am , 13-04-2017,CNBC-TV18,"Buy Wockhardt, Bajaj Auto; sell Hindalco Industries, Mindtree, Just Dial: Sudarshan Sukhani  "
9.21 am , 13-04-2017,Moneycontrol.com,"Infosys announces dividend of Rs 14.75/share, to payout Rs 13,000 crore in FY18  "
8.55 am , 13-04-2017,Moneycontrol.com,"Infosys Q4 profit dips 2.8%, attrition down; FY18 dollar revenue growth seen at 6.5-8.5%  "
8.30 am , 13-04-2017,CNBC-TV18,"Infosys Q4 profit may fall 3.7%, FY18 dollar revenue growth guidance seen at 7-9%  "
4.02 pm , 12-04-2017,CNBC-TV18,Here are SP Tulsian's top trading picks  
1.01 pm , 12-04-2017,PTI,Tightening H1B visa norms a blessing in disguise for IT firms: Mohandas Pai  
9.35 am , 12-04-2017,Moneycontrol.com,Last 3 quarters Infosys closed in red on the results day: here’s how to trade  
11.17 am , 26-04-2017,Moneycontrol.com,Hold Infosys  target of Rs 986: Geojit Financial Services 
1.05 pm , 25-04-2017,Moneycontrol.com,Trump govt was wrong on visa issuance number for Indian IT cos  
9.59 am , 25-04-2017,PTI,Infosys announces opening of office in Croatia  
12.16 pm , 24-04-2017,CNBC-TV18,"Infosys looking to expand board, induct two new members: Sources  "
12.14 pm , 21-04-2017,Moneycontrol.com,Hold Infosys  target of Rs 986: Geojit Financial Services 
12.11 pm , 21-04-2017,Moneycontrol.com,Buy Infosys  target of Rs 1092: Axis Direct 
12.03 pm , 21-04-2017,Moneycontrol.com,Layoffs and hiring freezes: IT slowdown signs are getting harder to ignore  
7.06 pm , 20-04-2017,CNBC-TV18,Wipro gives pink slips to 350-400 employees across India: Sources  
5.45 pm , 20-04-2017,PTI,"Modi, Paytm founder in Time's 'most influential people list'  "
12.45 pm , 20-04-2017,PTI,ShopX enters into strategic tie-up with Puma  
2.02 pm , 19-04-2017,Moneycontrol.com,Buy Infosys  target of Rs 1200: Motilal Oswal 
2.00 pm , 19-04-2017,Moneycontrol.com,Buy Infosys  target of Rs 1060: ICICI Direct 
1.30 pm , 19-04-2017,Moneycontrol.com,Accumulate Infosys  target of Rs 1060: KR Choksey 
12.25 pm , 19-04-2017,Moneycontrol.com,Hold Infosys  target of Rs 1022: Arihant Capital 
9.00 am , 19-04-2017,CNBC-TV18,Investment in geographies paying off handsomely  positive outlook for FY18: TCS 
12.24 pm , 18-04-2017,Moneycontrol.com,"Amid storm over Sikka's Panaya buy, TechM says self-developed similar solution cheaply  "
5.54 pm , 17-04-2017,Moneycontrol.com,Hits and misses of the early earnings season  
4.00 pm , 17-04-2017,CNBC-TV18,"Buy Infosys, says Gaurang Shah  "
1.50 pm , 17-04-2017,CNBC-TV18,"TCS Q4 profit seen down 2%, dollar revenue may rise 2%; 5 factors to watch out  "
1.21 pm , 17-04-2017,Moneycontrol.com,"Infosys Q4 results: Analysts largely wary on FY18 guidance, remain mixed  "
9.50 am , 25-05-2017,Reuters,Infosys touts plan to hire Americans in face of visa pressures  
5.44 pm , 24-05-2017,PTI,"Vishal Sikka's salary drops 67% in FY17, but Infosys gives big hikes to its top 4 execs  "
2.11 pm , 23-05-2017,PTI,Acko General Insurance raises $30m seed funding  
7.35 am , 23-05-2017,PTI,Vishal Sikka says journey ahead 'challenging'  
4.53 pm , 18-05-2017,CNBC-TV18,"Buy Infosys, see 3-4% upside: Dharmesh Kant  "
12.15 pm , 16-05-2017,PTI,"Indiana governor welcomes Infosys, announces India visit  "
3.30 pm , 12-05-2017,Moneycontrol.com,Bangalore techies in panic mode as IT companies shed workforce  
1.52 pm , 12-05-2017,PTI,"Infosys pushes salary hikes to July, even later for executives  "
1.11 pm , 12-05-2017,Moneycontrol.com,Job cuts become inevitable as IT loses sheen  
11.24 am , 12-05-2017,CNBC-TV18,Buy Infosys  sell Asian Paints: Mitessh Thakkar 
9.37 pm , 09-05-2017,PTI,"After Cognizant, Wipro, now Infosys to lay off employees  "
11.55 am , 09-05-2017,CNBC-TV18,"Buy Infosys, TCS, HCL Tech, IRB Infrastructure; sell Cipla: Sudarshan Sukhani  "
1.29 pm , 08-05-2017,Moneycontrol.com,GST rollout may bring in big opportunities for IT companies  
6.40 pm , 06-05-2017,PTI,Emotive connect with Infosys to remain forever: Gopalakrishnan  
1.38 pm , 05-05-2017,PTI,Infosys move to hire Americans act of appeasement: Head Hunters  
3.41 pm , 04-05-2017,Reuters,Infosys plays down cost concerns from U.S. hiring plan  
2.05 pm , 03-05-2017,PTI,"White House welcomes Infosys decision to hire 10,000 Americans  "
1.22 pm , 03-05-2017,Moneycontrol.com,"Fewer jobs, more layoffs: Why pace of hiring has slowed in Indian IT  "
10.45 am , 02-05-2017,Moneycontrol.com,Infosys to hire 10000 American workers in next two year  
9.41 am , 02-05-2017,Reuters,"Infosys plans to hire 10,000 American workers, open 4 US tech centres  "
9.57 am , 19-06-2017,Moneycontrol.com,The bogey of exits haunts Infosys but has Sikka's currency devalued?  
9.51 am , 16-06-2017,PTI,Infosys appoints Inderpreet Sawhney as group general counsel  
9.51 am , 16-06-2017,PTI,Infosys appoints Inderpreet Sawhney as group general counsel  
9.51 am , 16-06-2017,PTI,Infosys appoints Inderpreet Sawhney as group general counsel  
8.20 am , 16-06-2017,Moneycontrol.com,Infosys appoints Nitesh Banga as global head of Manufacturing  
3.43 pm , 14-06-2017,PTI,Govt spending on digitisation should be raised: Ex-Infosys CFO  
8.43 am , 14-06-2017,CNBC-TV18,"Buy, Sell, Hold: 1 major event, 1 sector and 4 stocks are on investors’ radar today  "
12.14 pm , 13-06-2017,Moneycontrol.com,Infosys says 'actions of activist shareholders' can harm co in a filing to SEC  
11.42 am , 13-06-2017,Moneycontrol.com,Case closed: SEBI to stop pursuing whistleblower's allegations against Infosys  
11.32 am , 09-06-2017,Moneycontrol.com,"Narayana Murthy, co-founders to sell entire stake in Infosys?  "
3.25 pm , 08-06-2017,Moneycontrol.com,"Infosys' comments, concerns on pricing spook IT stocks for second day  "
10.53 am , 08-06-2017,CNBC-TV18,"HCL Tech, Infosys top picks; negative on Tech Mahindra: Elara Capital  "
12.43 pm , 07-06-2017,Moneycontrol.com,Clients asking for 20-30% cost takeout  expect this to play out over 3-5 year period: Infosys COO Pravin Rao 
1.59 pm , 06-06-2017,PTI,IT job creation not rooted in reality: Head Hunters India  
11.51 am , 01-06-2017,PTI,"Facing job cuts, IT needs capitalism in mind, socialism in heart: Narayana Murthy  "
1.38 pm , 30-05-2017,PTI,"Techies well taken care of, no need for union: V Balakrishnan  "
3.35 pm , 29-05-2017,PTI,MF investment platform Nivesh.com raises fund  
11.45 am , 26-05-2017,PTI,"Sad over recent IT layoffs, says Narayana Murthy  "
9.36 am , 26-05-2017,CNBC-TV18,"Buy Asian Paints, Motherson Sumi, Capital First, L&T; Finance: Rajat Bose  "
7.40 pm , 25-05-2017,Moneycontrol.com,"With UK and Eurozone markets being reshaped, what's in it for Indian cos?  "
3.37 pm , 12-07-2017,CNBC-TV18,"Hold Infosys, target Rs 1050: Shahina Mukadam  "
6.00 pm , 07-07-2017,CNBC-TV19,Apple distributor Redington promoters have almost sold off. Should you?  
8.13 am , 07-07-2017,Moneycontrol.com,Infosys scheduled to report Q1 results on July 14  
6.27 pm , 04-07-2017,Moneycontrol.com,"Infosys employees get 5-11% salary hike, no April-June arrears: Sources  "
2.49 pm , 04-07-2017,CNBC-TV18,"Buy Infosys, Godrej Industries; sell SRF, Bank of Baroda: Sudarshan Sukhani  "
4.43 pm , 01-07-2017,PTI,Infosys appoints D Sundaram as independent director  
9.53 am , 01-07-2017,Moneycontrol.com,Infosys appoints D Sundaram as independent director  
9.20 pm , 28-06-2017,Moneycontrol.com,"Infosys' 36th AGM held on June 24, 2017  "
8.16 am , 27-06-2017,Moneycontrol.com,Infosys: Outcome of AGM  
10.58 am , 25-06-2017,PTI,Modi will convey Indian IT cos' role in US to Trump: Sikka  
10.36 am , 25-06-2017,PTI,Infosys board's relationship with founders 'good': Co-chairman Ravi Venkatesan  
11.05 am , 24-06-2017,Moneycontrol.com,Why Infosys needs an activist shareholder like Narayana Murthy  
9.10 am , 24-06-2017,Moneycontrol.com,Infosys to cough up $1 million fine for flouting US visa norms  
6.31 pm , 23-06-2017,Moneycontrol.com,Clean chit: Independent investigation clears Infosys of whistleblowers' allegations  
3.01 pm , 23-06-2017,PTI,"IT export growth projection is realistic, reasonable: Experts  "
12.19 pm , 22-06-2017,PTI,"Indian IT industry not H-1B dependent, says Infosys CEO  "
9.06 am , 20-06-2017,Moneycontrol.com,Infosys' ex-US head to join Snickers maker Mars as Chief Digital Officer  
6.22 pm , 19-06-2017,Moneycontrol.com,Buy Infosys  target of Rs 1173: Edelweiss 
3.28 pm , 19-06-2017,Moneycontrol.com,JPMorgan suggests more de-centralisation for Infosys as stock falls 2%  
10.14 am , 19-06-2017,Moneycontrol.com,Infosys to strengthen its leadership programme to boost internal hiring  
1.57 pm , 30-07-2017,PTI,"Investing heavily in Europe, hiring locals: Infosys  "
1.37 pm , 27-07-2017,PTI,"Very much hope Vishal Sikka will deliver results, Infosys Co-chairman Ravi Venkatesan  "
9.15 pm , 26-07-2017,PTI,Infosys Innovation Fund MD Yusuf Bashir quits  
12.59 pm , 26-07-2017,PTI,"We consider Narayana Murthy a well wisher, not shareholder activist: Infosys  "
11.36 am , 21-07-2017,CNBC-TV18,"Expect 5-7% upside on Wipro; prefer Infosys, Tech Mah & Wipro in IT sector: Edelweiss  "
4.59 pm , 17-07-2017,Moneycontrol.com,Buy Infosys  target of Rs 1158: KR Choksey 
3.30 pm , 17-07-2017,Moneycontrol.com,Hold Infosys  target of Rs 1040: ICICI Direct 
8.13 am , 17-07-2017,CNBC-TV18,Should have listened to co-founders about not leaving Infosys in 2014: NRN Murthy  
6.05 pm , 14-07-2017,Moneycontrol.com,Why Infosys sulked in last hour of trade despite Q1 earnings surprise  
3.37 pm , 14-07-2017,Moneycontrol.com,Infosys Q1 FY18 – adept driver negotiating a bumpy road well  
2.03 pm , 14-07-2017,CNBC-TV18,New services & software segregated in Q1  will be key growth driver: Vishal Sikka 
12.41 pm , 14-07-2017,Moneycontrol.com,Infosys adds 59 clients in Q1 against 71 in previous quarter  
11.54 am , 14-07-2017,CNBC-TV18,Infosys Q1: Management talks about performance and outlook  
10.03 am , 14-07-2017,Moneycontrol.com,Infosys surprises D-Street! Top 10 takeaways for June quarter results  
9.17 am , 14-07-2017,Moneycontrol.com,Infosys: Outcome of board meeting  
8.55 am , 14-07-2017,Moneycontrol.com,"Infosys Q1 profit down 3.3%, retains FY18 constant currency revenue growth guidance  "
6.33 pm , 13-07-2017,Moneycontrol.com,Infosys Q1 PAT may dip 3% QoQ to Rs 3495.2 cr: Edelweiss  
12.41 pm , 13-07-2017,Moneycontrol.com,Will Infosys surprise D-Street on Friday? Here’s how to trade the stock  
12.14 pm , 13-07-2017,CNBC-TV18,IT Q1 earnings: Elara Cap says TCS' commentary on BFSI key  like Infosys better 
11.52 am , 13-07-2017,CNBC-TV18,Infosys to release Q1 results report on July 14  keep an eye on these 10 factors 
11.35 am , 18-08-2017,Moneycontrol.com,"Experts call Sikka's exit unfortunate for Infy; stock fall erodes nearly Rs 27,000 cr in m-cap  "
11.00 am , 18-08-2017,CNBC-TV18,Here's what experts had to say about Vishal Sikka's exit as Infosys MD & CEO  
9.32 am , 18-08-2017,Moneycontrol.com,Infosys' MD & CEO Vishal Sikka resigns  
8.21 pm , 17-08-2017,PTI,Infosys and ATP announce new 'PlayerZone' app and website  
3.01 pm , 17-08-2017,CNBC-TV18,"Buy Infosys, Tech Mahindra: Mitessh Thakkar  "
2.22 pm , 17-08-2017,Moneycontrol.com,"Narayana Murthy should be hands-off at Infosys, because wistfulness is not a wish  "
9.02 am , 17-08-2017,Moneycontrol.com,Infosys to consider buyback of equity shares  
7.35 am , 17-08-2017,PTI,Infosys to consider proposal for share buyback  
2.46 pm , 14-08-2017,Moneycontrol.com,"EXCLUSIVE-Infosys co-chair Venkatesan opens up on targets, founder-CEO rift and investor concerns  "
9.35 am , 11-08-2017,CNBC-TV18,"Buy Infosys, Bank of Baroda looks weak: Chandan Taparia  "
9.17 am , 09-08-2017,PTI,"Big data to address problems of jobs, growth: Nandan Nilekani  "
2.18 pm , 07-08-2017,Moneycontrol.com,Investors are asking if Vishal Sikka is the right person to lead Infosys: Anil Singhvi  
3.05 pm , 04-08-2017,PTI,No plans to make external investigator's report public: Infosys  
8.43 am , 04-08-2017,PTI,Infosys' senior-level exits far lower than others: Vishal Sikka  
8.41 am , 04-08-2017,PTI,Infosys to acquire Brilliant Basics  
8.24 am , 04-08-2017,CNBC-TV18,Looking at both small start-up type companies & large ones for acquisition: Wipro  
10.54 pm , 03-08-2017,Moneycontrol.com,Another row? Narayana Murthy wants Infosys to make Panaya report public  
2.00 pm , 03-08-2017,CNBC-TV18,"Infosys' Vishal Sikka completes 3 years as CEO, says proud of revenue growth at firm  "
2.10 pm , 31-07-2017,Moneycontrol.com,"Infosys sees exit of another top executive, fourth in 40 days  "
1.57 pm , 30-07-2017,PTI,Infosys can be 10 times as large as it is today: Ravi Venkatesan  
8.07 am , 21-08-2017,Moneycontrol.com,Time to exit Infosys? Analysts advise tendering shares in buyback  
8.52 pm , 19-08-2017,Moneycontrol.com,"LIC likely to meet Infosys management, not decided if it will participate in buyback  "
7.58 pm , 19-08-2017,Moneycontrol.com,"A day after Vishal Sikka's exit as CEO, 3 US law firms file suits against Infosys  "
5.26 pm , 19-08-2017,Moneycontrol.com,Infosys buyback: Compulsion or choice?  
1.40 pm , 19-08-2017,Moneycontrol.com,"A day after Vishal Sikka's exit as CEO, 3 US law firms file suits against Infosys  "
11.31 am , 19-08-2017,Moneycontrol.com,Infosys approves buyback of equity shares  
9.52 am , 19-08-2017,Moneycontrol.com,Vishal Sikka vs Narayana Murthy: Outsider CEOs need to play tough balancing act  
4.24 pm , 18-08-2017,Moneycontrol.com,"COMMENT-The buyback may keep a rudderless Infy afloat, but resolving the spat is key  "
4.05 pm , 18-08-2017,CNBC-TV18,Infosys press conference: Here's how experts react  
3.47 pm , 18-08-2017,CNBC-TV18,"Buy Infosys below Rs 900, says Avinnash Gorakssakar  "
3.40 pm , 18-08-2017,CNBC-TV18,"Buy Infosys on declines, says Prakash Gaba  "
3.13 pm , 18-08-2017,CNBC-TV18,"Problem in Infosys could linger on; buy RBL Bk, HPCL, Chennai Petro: Ashwani Gujral  "
2.28 pm , 18-08-2017,CNBC-TV18,Infosys conference call: Here are a few key takeaways from experts  
1.30 pm , 18-08-2017,CNBC-TV18,Underweight on software sector  bullish on private sector banks: Alfaccurate Advisors 
12.36 pm , 18-08-2017,Moneycontrol.com,Is Sikka’s exit a nasty hiccup or the beginning of the end for Infy? The succession will tell  
12.35 pm , 18-08-2017,Moneycontrol.com,Infosys former CEO & MD Vishal Sikka will receive only $1 as annual salary  
12.26 pm , 18-08-2017,CNBC-TV18,"Buy Infosys 900 Put, 1000 Call: Krish Subramanyam  "
12.00 pm , 18-08-2017,Moneycontrol.com,Vishal Sikka resigns as Infosys CEO & MD with immediate effect  
11.57 am , 18-08-2017,Moneycontrol.com,"Repeated 'assaults' by Narayana Murthy led to Vishal Sikka's exit, says Infosys board  "
11.55 am , 18-08-2017,Moneycontrol.com,Infosys board fact checks Narayana Murthy's allegations on Vishal Sikka. Here's the full text  
3.00 pm , 23-08-2017,CNBC-TV18,"Exit Infosys, may slip below Rs 800: Sandeep Wagle  "
2.52 pm , 23-08-2017,CNBC-TV18,"Get in Infosys on dips, says Shahina Mukadam  "
