'2009-07-10', 'Infosys Q1 revenues down 3% to Rs 5,472 crore   ', 'IT sector to stay strong: Anu Jain  ', 'FY10 revenues seen at Rs 21416 cr: Infosys  ',"Fellow Infoscions rue Nilekani's exit, see void  ", 'Buy Infosys on declines: D Mehta  ', 'Infy nos beat street, but co stays guarded on FY10 outlook  ', 'Hold Infosys: Bonanza  ', 'Infy meets Re guidance  Q1 PAT down 5% at Rs 1527cr (QoQ) ', 'Nilekani bids adieu to Infosys  ', 'Infosys a best bet among the largecaps: VK Sharma  ',,,,,,,,,,,,,,,,,,,,,,,,
'2009-07-11',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-07-12',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-07-13', 'Hold Infosys, target of Rs 1880: Sharekhan  ', 'Accumulate Infosys Technologies: Parag Parikh  ', 'Buy Infosys, target of Rs 1824: KRChoksey  ', 'Hold Infosys, target of Rs 1985: Reliance Money  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-07-14', 'Sushil Finance neutral on Infosys Technologies  ', 'Reduce Infosys, target of Rs 1700: IIFL  ', 'Infosys has target of Rs 2100: B Shah  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-07-15', 'Motilal Oswal neutral on Infosys Technologies  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-07-16',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-07-17',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-07-18',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-07-19',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-07-20',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-07-21',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-07-22',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-07-23', 'Buy Infosys, target of Rs 2350: Hem  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-07-24',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-07-25',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-07-26',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-07-27',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-07-28',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-07-29', 'Slowdown will impact new graduates: Infosys CEO  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-07-30',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-07-31',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-08-01',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-08-02',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-08-03',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-08-04', 'Short Infosys at current level: S Bhamre  ', 'Infosys BPO inks 5-year deal with T-Mobile UK  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-08-05',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-08-06', 'Infosys pursuing deals worth $1 bn  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-08-07',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-08-08',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-08-09',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
