"date","weighted","close","high","low","open","volume"
"2014-10-03","363.45","363.45","378.22","362.81","375.14","6278574.04"
"2014-10-04","335.32","335.32","369.88","327.1","363.45","8050734.62"
"2014-10-05","322.86","322.86","344.25","294.92","335.32","9512572.11"
"2014-10-06","331.55","331.55","347.94","303.05","322.86","13642089.7"
"2014-10-07","331.65","331.65","345.51","321.74","331.55","10076018.49"
"2014-10-08","350.87","350.87","351.64","325.43","331.65","7413499.73"
"2014-10-09","360.91","360.91","384.61","347.57","350.87","13020038.29"
"2014-10-10","361.71","361.71","378.13","353.32","360.91","10394856.2"
"2014-10-11","361.22","361.22","370.15","350.49","361.71","5049013.74"
"2014-10-12","373.17","373.17","374.57","352.25","361.22","4077867.05"
"2014-10-13","387.32","387.32","391.22","366.04","373.17","8935310.47"
"2014-10-14","397.1","397.1","407.74","385.72","387.32","11549913.84"
"2014-10-15","393.17","393.17","397.87","388.23","397.1","8867207.18"
"2014-10-16","379.77","379.77","398.84","371.56","393.17","7999668.99"
"2014-10-17","380.48","380.48","384.76","372.42","379.77","6324477.58"
"2014-10-18","390.88","390.88","395.71","373.58","380.48","3657801.17"
"2014-10-19","387.28","387.28","394.49","383.92","390.88","2088508.52"
"2014-10-20","380.39","380.39","387.77","378.42","387.28","4075710.38"
"2014-10-21","382.35","382.35","388.24","377.42","380.39","3745779.18"
"2014-10-22","378.93","378.93","383.69","376.97","382.35","4064736.42"
"2014-10-23","355.78","355.78","381.08","353.48","378.93","6999640.64"
"2014-10-24","355.1","355.1","360.87","351.41","355.78","7185001.61"
"2014-10-25","346.72","346.72","356.57","341.53","355.1","4929757.95"
"2014-10-26","348.67","348.67","356.8","344.19","346.72","4076756.1"
"2014-10-27","350.09","350.09","356.35","344.93","348.67","3777108.32"
"2014-10-28","351.06","351.06","355.72","348.27","350.09","3372185.13"
"2014-10-29","335.12","335.12","352.83","334.72","351.06","4259966.32"
"2014-10-30","344.86","344.86","350.38","333.44","335.12","5522262.77"
"2014-10-31","337.87","337.87","347.97","336.08","344.86","4814121.89"
"2014-11-01","325.43","325.43","339","320.74","337.87","4540440.63"
"2014-11-02","322.55","322.55","329.76","319.81","325.43","3878749.8"
"2014-11-03","324.24","324.24","332.85","321.67","322.55","4435458.55"
"2014-11-04","327.96","327.96","328.75","320.11","324.24","4955240.5"
"2014-11-05","338.01","338.01","341.98","326.52","327.96","5342189.88"
"2014-11-06","347.67","347.67","351.14","335.74","338.01","5388972.33"
"2014-11-07","341.87","341.87","351.61","340.18","347.67","5215262.11"
"2014-11-08","343.54","343.54","346.29","339.8","341.87","2834855.25"
"2014-11-09","362.04","362.04","362.21","341.78","343.54","4466556.5"
"2014-11-10","367.15","367.15","374.67","356.6","362.04","8387025.99"
"2014-11-11","365.42","365.42","370.99","361.87","367.15","5817809.67"
"2014-11-12","432.03","432.03","442.73","365.81","365.42","15737081.16"
"2014-11-13","428.72","428.72","480.45","390.88","432.03","25304725.28"
"2014-11-14","396.53","396.53","430.18","381.99","428.72","14250930.93"
